GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Generator Core,org.mybatis.generator.internal.util.messages,Messages,104,0,0,0,16,0,6,0,6,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByExampleWithoutBLOBsMethodGenerator,229,0,10,0,49,0,10,0,5,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderCountByExampleMethodGenerator,144,0,6,0,35,0,5,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderApplyWhereMethodGenerator,573,0,14,0,36,0,10,0,3,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderDeleteByExampleMethodGenerator,137,0,6,0,33,0,5,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderSelectByExampleWithoutBLOBsMethodGenerator,263,0,14,0,57,0,12,0,5,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderSelectByExampleWithBLOBsMethodGenerator,21,0,0,0,5,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByExampleWithBLOBsMethodGenerator,21,0,0,0,5,0,4,0,4,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByExampleSelectiveMethodGenerator,271,0,14,0,58,0,9,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderInsertSelectiveMethodGenerator,205,0,20,0,49,0,12,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,AbstractJavaProviderMethodGenerator,21,0,2,0,7,0,3,0,2,0
MyBatis Generator Core,org.mybatis.generator.codegen.mybatis3.javamapper.elements.sqlprovider,ProviderUpdateByPrimaryKeySelectiveMethodGenerator,237,0,16,0,50,0,10,0,2,0
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,XmlElement,172,0,6,0,45,0,13,0,10,0
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Document,85,0,4,0,25,0,9,0,7,0
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,TextElement,24,0,0,0,8,0,3,0,3,0
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Attribute,61,0,6,0,17,0,8,0,5,0
MyBatis Generator Core,org.mybatis.generator.api.dom.xml,Element,3,0,0,0,2,0,1,0,1,0
MyBatis Generator Core,org.mybatis.generator.plugins,RenameExampleClassPlugin,76,0,10,0,18,0,8,0,3,0
MyBatis Generator Core,org.mybatis.generator.plugins,VirtualPrimaryKeyPlugin,30,0,4,0,11,0,5,0,3,0
MyBatis Generator Core,org.mybatis.generator.plugins,MapperConfigPlugin,218,0,6,0,51,0,7,0,4,0
MyBatis Generator Core,org.mybatis.generator.plugins,SerializablePlugin,158,0,12,0,43,0,14,0,8,0
MyBatis Generator Core,org.mybatis.generator.plugins,SqlMapConfigPlugin,225,0,6,0,52,0,7,0,4,0
MyBatis Generator Core,org.mybatis.generator.plugins,ToStringPlugin,112,0,4,0,32,0,8,0,6,0
MyBatis Generator Core,org.mybatis.generator.plugins,CachePlugin.CacheProperty,90,0,0,0,12,0,6,0,6,0
MyBatis Generator Core,org.mybatis.generator.plugins,RowBoundsPlugin,181,0,18,0,44,0,18,0,9,0
MyBatis Generator Core,org.mybatis.generator.plugins,CachePlugin,67,0,6,0,15,0,7,0,4,0
MyBatis Generator Core,org.mybatis.generator.plugins,CaseInsensitiveLikePlugin,135,0,12,0,39,0,9,0,3,0
MyBatis Generator Core,org.mybatis.generator.plugins,EqualsHashCodePlugin,600,0,40,0,167,0,27,0,7,0
MyBatis Generator Core,org.mybatis.generator.codegen.ibatis2.sqlmap,SqlMapGenerator,400,0,40,0,117,0,43,0,23,0
MyBatis Generator Core,org.mybatis.generator.logging,LogFactory,44,0,0,0,15,0,5,0,5,0
MyBatis Generator Core,org.mybatis.generator.logging,Log4jImpl,32,0,0,0,12,0,6,0,6,0
